PROJECT_TITLE,NIH_SPENDING_CATS
Alpha-Synuclein and Synaptic Vesicle Dysfunction after Traumatic Brain Injury,Acquired Cognitive Impairment; Behavioral and Social Science; Brain Disorders; Dementia; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Neurosciences; 
Penn Roybal Center on Behavioral Economics and Health,Aging; Behavioral and Social Science; Clinical Research; Health Services; Obesity; Prevention; 
A new radiopharmaceutical for the treatment of metastatic bone cancer,Bioengineering; Breast Cancer; Cancer; Orphan Drug; Pain Conditions - Chronic; Pain Research; Pediatric; Pediatric Cancer; Prostate Cancer; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation; Urologic Diseases; 
Siteman Flow Cytometry,Bioengineering; Cancer; Clinical Research; Clinical Trials and Supportive Activities; 
Imaging NFkB Activation in HTLV Lymphoma,Cancer; Diagnostic Radiology; Hematology; Lymphoma; Rare Diseases; 
Epigenetic and genetic contributors to chronic neuropathic pain,Biotechnology; Complementary and Alternative Medicine; Dental/Oral and Craniofacial Disease; Drug Abuse (NIDA only); Genetics; Human Genome; Injury (total) Accidents/Adverse Effects; Neurodegenerative; Neurosciences; Pain Conditions - Chronic; Pain Research; Peripheral Neuropathy; Substance Abuse; 
Enhanced multiphoton microscopy through spatial light modulation,Bioengineering; HIV/AIDS; Mental Health; Neurosciences; 
Characterizing non-medical prescription opioid use and pain in people living with HIV,Behavioral and Social Science; Clinical Research; Drug Abuse (NIDA only); HIV/AIDS; Pain Conditions - Chronic; Pain Research; Prevention; Substance Abuse; 
Inactivating Inhibitors of Mycobacterium tuberculosis beta-lactamase BlaC,Antimicrobial Resistance; Diagnostic Radiology; HIV/AIDS; Infectious Diseases; Orphan Drug; Prevention; Rare Diseases; Tuberculosis; 
Cancer Prevention and Population Science,Behavioral and Social Science; Cancer; Clinical Research; Clinical Trials and Supportive Activities; Prevention; 
Classification of breast masses based on visco-elastic properties,Bioengineering; Breast Cancer; Cancer; Clinical Research; Diagnostic Radiology; Prevention; 
Multicenter Uveitis Steroid Treatment (MUST) Trial,Autoimmune Disease; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Eye Disease and Disorders of Vision; Neurosciences; 
A Simple Cellular Model for Lipodystrophy,Rare Diseases; 
A Multivalent Lipoprotein Vaccine to Prevent S. aureus Cutaneous Infections,Biodefense; Biotechnology; Emerging Infectious Diseases; Immunization; Infectious Diseases; Prevention; Vaccine Related; 
Phonetic adaptation as (near) rational learning in a variable environment,Aphasia; Basic Behavioral and Social Science; Behavioral and Social Science; Bioengineering; Brain Disorders; Clinical Research; 
Development of Mixed Function Opioid Peptides and Peptidomimetics,Drug Abuse (NIDA only); Neurosciences; Pain Conditions - Chronic; Pain Research; Substance Abuse; 
Genetic Basis of Opioid Reward and Aversion in Mice,Basic Behavioral and Social Science; Behavioral and Social Science; Biotechnology; Brain Disorders; Drug Abuse (NIDA only); Genetics; Human Genome; Neurosciences; Prescription Drug Abuse; Substance Abuse; 
Neuroimaging mechanisms of overlap between alcoholism and bipolar disorder,"Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Bipolar Disorder; Brain Disorders; Clinical Research; Diagnostic Radiology; Mental Health; Neurosciences; Serious Mental Illness; Substance Abuse; "
Glucocorticoid-regulated endocannabinoids and stress-potentiated cocaine seeking,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Cannabinoid Research; Drug Abuse (NIDA only); Neurosciences; Substance Abuse; 
Developing Picosecond Time-Resolved X-ray Infrastructure at the APS,Bioengineering; Clinical Research; 
Genetic determinants of Plasmodium vivax relapse,Biotechnology; Clinical Research; Genetics; Infectious Diseases; Malaria; Rare Diseases; Vector-Borne Diseases; 
Pain Management using Mobile Technology in Veterans with PTSD and TBI,Anxiety Disorders; Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Complementary and Alternative Medicine; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Mental Health; Mind and Body; Neurosciences; Pain Conditions - Chronic; Pain Research; Post-Traumatic Stress Disorder (PTSD); Rehabilitation; 
International Research Network on Valuing Health Research,Aging; 
Roles of Ku and its interaction partners in telomere function and DNA repair,Genetics; 
The ClpP protease as a therapeutic target in bacterial and mammalian cells,Antimicrobial Resistance; Biotechnology; Cancer; Infectious Diseases; 
Endothelial Progenitor Cells and Particulate Air Pollution,Atherosclerosis; Cardiovascular; Climate-Related Exposures and Conditions; Clinical Research; Heart Disease; Heart Disease - Coronary Heart Disease; Prevention; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Computer Software Support,Bioengineering; Cancer; Networking and Information Technology R&D; 
FETAL PROGRAMMING OF THE NEWBORN AND INFANT HUMAN BRAIN,Basic Behavioral and Social Science; Behavioral and Social Science; Bioengineering; Clinical Research; Conditions Affecting the Embryonic and Fetal Periods; Diagnostic Radiology; Mental Health; Neurosciences; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Prevention; 
Cape Town Adolescent Antiretroviral Cohort (CTAAC),Basic Behavioral and Social Science; Behavioral and Social Science; Cardiovascular; Clinical Research; HIV/AIDS; Infectious Diseases; Lung; Neurosciences; Pediatric; Pediatric AIDS; 
Oral Pentoxifylline vs. Placebo in Acute Pancreatitis: ...  (short title),Clinical Research; Clinical Trials and Supportive Activities; Digestive Diseases; 
CAN NEUROMUSCULAR TRAINING ALTER MOVEMENT PATTERNS?,Aging; Arthritis; Bioengineering; Clinical Research; Injury (total) Accidents/Adverse Effects; Neurosciences; Osteoarthritis; Pain Conditions - Chronic; Pain Research; Patient Safety; Physical Rehabilitation; Rehabilitation; 
Project IMPACT: In-the-Moment Protection from Automatic Capture by Triggers,"Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Brain Disorders; Clinical Research; Mental Health; Substance Abuse; "
Development of a selective calpain-2 inhibitor for treating learning impairment in AS,Brain Disorders; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; 
Common and Distinct Phenotypes of Body Dysmorphic Disorder and Anorexia Nervosa,Anorexia; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Eating Disorders; Eye Disease and Disorders of Vision; Mental Health; Mind and Body; Neurosciences; Nutrition; Serious Mental Illness; 
Identifying novel thermosensitive channels via a high throughput in vivo screen,Biotechnology; Genetics; Neurosciences; Pain Conditions - Chronic; Pain Research; 
Anesthesiology Research Training Program,Stem Cell Research; Stem Cell Research - Embryonic - Human; 
Clinician Scientist Training Program (CSTP),Brain Disorders; Drug Abuse (NIDA only); Substance Abuse; 
Multi-Scale Laws of Myocardial Growth and Remodeling,Bioengineering; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; 
THE CONVERSION OF NONCODING SEQUENCES INTO PROTEINS,Genetics; 
Investigating the Role of Polymerase kappa in Melanoma Heterogeneity and Drug Resistance,Cancer; Genetics; 
Brainstem pain-modulating systems in migraine-related photophobia,Brain Disorders; Dental/Oral and Craniofacial Disease; Eye Disease and Disorders of Vision; Headaches; Migraines; Neurosciences; Pain Conditions - Chronic; Pain Research; 
Optogenetic Testing of Mechanims of Dopamine Action in Pavlovian Learning,Basic Behavioral and Social Science; Behavioral and Social Science; Drug Abuse (NIDA only); Genetics; Neurosciences; Substance Abuse; 
DEFINING HOST-MICROBIAL INTERACTIONS THAT TRIGGER INFLAMMATORY BOWEL DISEASE,Autoimmune Disease; Crohn's Disease; Digestive Diseases; Genetics; Infectious Diseases; Inflammatory Bowel Disease; 
vIRF-1 regulation of mitophagy in HHV-8 biology,Emerging Infectious Diseases; Infectious Diseases; 
Bone Morphogenetic Protein Controls Links Between Dentinogenesis and Angiogenesis,Dental/Oral and Craniofacial Disease; Regenerative Medicine; 
Role of IL-13 and Hyaluronan (HA) in Ainway Remodeling in Asthma,Asthma; Lung; 
Using Outcomes Analyses to Inform Implementation of NINDS Clinical Trials,Brain Disorders; Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Cost Effectiveness Research; Emergency Care; Neurosciences; 
Community-based Participatory Research: A Tool to Advance Cookstove Interventions,Behavioral and Social Science; Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Health Effects of Household Energy Combustion; Health Effects of Indoor Air Pollution; Prevention; 
Targeted-delivery of small interference RNA against anthrax,Anthrax; Antimicrobial Resistance; Biodefense; Biotechnology; Emerging Infectious Diseases; Genetics; Immunization; Infectious Diseases; Prevention; Rare Diseases; Vaccine Related; 
Task A57: MOUSE MODEL FOR EVALUATION OF MEDICAL COUNTERMEASURES FOR MERS,Biodefense; Biotechnology; Emerging Infectious Diseases; Immunization; Infectious Diseases; Prevention; Vaccine Related; 
Nitric Oxide Metabolism and Transport,Cardiovascular; Hematology; Nutrition; Rare Diseases; Sickle Cell Disease; 
Positive and Negative Regulation of Natural Killer Cells After BMT,Cancer; Infectious Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation; 
Metabolic Reprogramming in LAM: Novel Therapeutic Strategies,Brain Disorders; Cancer; Lung; Orphan Drug; Rare Diseases; Tuberous Sclerosis; 
Histologic image-based aggressiveness prediction in p16+ oropharyngeal carcinoma,Cancer; Clinical Research; Dental/Oral and Craniofacial Disease; Digestive Diseases; 
Developmental Project 2,Mental Health; 
Initiation of allergic immunity by parasites,Digestive Diseases; Infectious Diseases; Nutrition; 
Structure of M2 Proton Channel from Influenza A Virus,Emerging Infectious Diseases; Infectious Diseases; Influenza; Pneumonia & Influenza; 
The Regulation of Stem Cell Aging,Aging; Clinical Research; Clinical Trials and Supportive Activities; Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Functional Genomics of Platelet Aggregation Using iPS and Derived Megakaryocytes,Biotechnology; Cardiovascular; Clinical Research; Genetics; Hematology; Human Genome; Prevention; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; 
The Taxi Network,Behavioral and Social Science; Cardiovascular; Clinical Research; Health Services; Heart Disease; Nutrition; Prevention; 
Posttranslational regulation of Cox-2 activity,Biotechnology; Cancer; Prevention; Prostate Cancer; Urologic Diseases; 
Functional MRI at Columnar Resolution,Bioengineering; Neurosciences; 
Environmentally-adaptive nanoparticles with focal irradiation for cancer therapy,Bioengineering; Cancer; Nanotechnology; 
Project 4: Synucleinopathy Biomarkers and the Skin,Acquired Cognitive Impairment; Aging; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Cardiovascular; Clinical Research; Dementia; Lewy Body Dementia; Neurodegenerative; Neurosciences; Parkinson's Disease; Rare Diseases; 
Baylor/Texas Children's Hospital Pediatric Heart Network,Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Congenital Structural Anomalies; Heart Disease; Neurosciences; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; 
ERK and Src as Negative Regulators of Pregnancy,Contraception/Reproduction; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; 
Integrative Training Program in Neuroimaging,Neurosciences; 
Bioinformatics,Bioengineering; Cancer; Genetics; Human Genome; Networking and Information Technology R&D; 
The Effect of Normal and Prolonged Sensory Activity on Neural Circuits,Basic Behavioral and Social Science; Behavioral and Social Science; Genetics; Neurosciences; 
SPORE in Breast Cancer,Biotechnology; Breast Cancer; Cancer; Genetics; Prevention; 
Targeted therapies in mutant BRAF melanoma,Cancer; Clinical Research; 
Functional Analysis of LncRNAs in Epithelial Ovarian Cancer,Biotechnology; Cancer; Clinical Research; Genetics; Human Genome; Orphan Drug; Ovarian Cancer; Rare Diseases; 
mRNA degradation by autophagy,Genetics; Neurodegenerative; Neurosciences; 
A Novel Role of the Small Intestine in Dyslipidemia and Vascular Inflammation,Atherosclerosis; Biotechnology; Cardiovascular; Digestive Diseases; Nutrition; 
Molecular Genomics Core,Cancer; Genetics; Human Genome; 
Brain Mechanisms Mediating Genetic Risk For Anxiety and Depression,Anxiety Disorders; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Depression; Genetics; Mental Health; Neurosciences; Pediatric; Prevention; 
Role of c-Jun N-terminal kinase signaling in cortical interneuron migration,Brain Disorders; Mental Health; Neurosciences; 
The Mathematical Sciences in Obesity Research,Nutrition; Obesity; 
B-lymphocyte Targeting Therapies for Autoimmune Diabetes,Autoimmune Disease; Diabetes; Pediatric; Prevention; 
Demystifying the antiviral activity of the IgG3+ antibody response,Biotechnology; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Molecular Genetic Characterization of SCA8,ALS; Biotechnology; Brain Disorders; Genetics; Neurodegenerative; Neurosciences; Rare Diseases; 
